#ID:	2
#type:	Set light intensity
#start_time:	16/04/2025 17.46.08
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
##Sample holder climate : temperature:	[32.808,32.808] °C
##Sample holder climate : relative humidity:	[30.803,30.803] %
##IR temperature [0]:	[34.89,34.89] °C
##Stage temperature:	[33.9076,33.9076] °C
##Light intensity:	[0,100] %
#
#wavelength (nm),intensity (W/m2/nm)
721.875,3.53203
724.844,3.75046
727.812,3.93066
730.781,4.40371
733.75,4.84007
736.719,4.84003
739.687,5.32768
742.656,5.17166
745.625,5.2603
748.594,5.19288
751.562,5.74602
754.531,6.77355
757.5,7.95
760.469,9.20187
763.437,8.60017
766.406,7.62876
769.375,7.37083
772.344,6.09084
775.312,5.25857
778.281,4.30083
781.25,4.07125
784.219,3.18188
787.187,3.11209
790.156,2.69553
793.125,2.93035
796.094,3.05358
799.062,3.30756
802.031,3.61696
805,4.11701
807.969,3.83609
810.937,3.72071
813.906,3.18059
816.875,2.79495
819.844,2.66367
822.812,2.49972
825.781,2.33493
828.75,2.08108
831.719,1.66595
834.687,1.65823
837.656,1.31326
840.625,1.69837
843.594,1.51866
846.562,1.64157
849.531,1.83259
852.5,2.13638
855.469,2.49997
858.437,2.61183
861.406,3.03307
864.375,2.76477
867.344,2.71033
870.312,2.67548
873.281,2.51077
876.25,2.41203
879.219,2.42593
882.187,2.40199
885.156,2.06962
888.125,2.04711
891.094,1.86959
894.062,1.54736
897.031,1.44438
900,1.30509
902.969,1.17716
905.937,1.04728
908.906,0.948664
911.875,0.816853
914.844,0.728634
917.812,0.635262
920.781,0.562941
923.75,0.492122
926.719,0.418214
929.687,0.362005
932.656,0.372517
935.625,0.361213
938.594,0.340725
941.562,0.380594
944.531,0.353422
947.5,0.346048
950.469,0.336061
953.437,0.419934
956.406,0.45707
959.375,0.608938
962.344,0.665243
965.313,0.779528
968.281,0.860609
971.25,0.921602
974.219,0.906187
977.188,0.944231
980.156,0.943249
983.125,0.911543
986.094,0.930442
989.062,0.942789
992.031,0.955643
995,0.965333
997.969,0.97277
1000.94,0.983644
1003.91,1.01278
1006.87,1.05569
1009.84,1.10897
1012.81,1.17735
1015.78,1.25066
1018.75,1.34772
1021.72,1.45364
1024.69,1.55794
1027.66,1.69985
1030.62,1.79815
1033.59,1.86874
1036.56,1.93351
1039.53,1.96565
1042.5,1.91872
1045.47,1.95086
1048.44,1.96447
1051.41,1.93641
1054.37,1.96848
1057.34,2.04562
1060.31,2.06239
1063.28,2.07945
1066.25,2.11701
1069.22,2.00226
1072.19,1.92121
1075.16,1.49181
1078.12,1.07599
1081.09,0.654384
1084.06,0.358959
1087.03,5.64399E-6
1090,4.29206E-6
1092.97,3.349E-6
1095.94,2.70291E-6
1098.91,2.21065E-6
1101.87,1.85317E-6
1104.84,1.61044E-6
1107.81,1.4058E-6
1110.78,1.27582E-6
1113.75,1.20691E-6
1116.72,1.17714E-6
1119.69,1.17076E-6
1122.66,1.22034E-6
1125.62,1.26029E-6
1128.59,1.28454E-6
1131.56,1.30677E-6
1134.53,1.33283E-6
1137.5,1.36114E-6
1140.47,1.38403E-6
1143.44,1.40454E-6
1146.41,1.41136E-6
1149.37,1.39382E-6
1152.34,1.36117E-6
1155.31,1.31541E-6
1158.28,1.25647E-6
1161.25,1.19818E-6
1164.22,1.15341E-6
1167.19,1.12334E-6
1170.16,1.12016E-6
1173.12,1.16406E-6
1176.09,1.26332E-6
1179.06,1.42647E-6
1182.03,1.66252E-6
1185,1.9502E-6
1187.97,2.26447E-6
1190.94,2.58991E-6
1193.91,2.76047E-6
1196.87,2.91798E-6
1199.84,3.50771E-6
1202.81,3.7467E-6
1205.78,3.94174E-6
1208.75,4.09393E-6
1211.72,4.15083E-6
1214.69,4.08975E-6
1217.66,3.88264E-6
1220.62,3.54641E-6
1223.59,3.1541E-6
1226.56,2.67442E-6
1229.53,2.19748E-6
1232.5,1.76184E-6
1235.47,1.26875E-6
1238.44,7.53337E-7
1241.41,3.26486E-7
1244.37,0
1247.34,0
1250.31,0
1253.28,0
1256.25,0
1259.22,0
1262.19,0
1265.16,0
1268.12,0
1271.09,0
1274.06,0
1277.03,0
1280,0
1282.97,0
1285.94,0
1288.91,0
1291.87,0
1294.84,0
1297.81,0
